,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
36,Azerbaijan,2020-08-11 06:35:16,40.1431,47.5769,33647.0,492.0,30642.0,2513.0,331.8514573424366,,,1.4622403186019557,31,AZE
37,Bahamas,2020-08-11 06:35:16,25.025885,-78.035889,945.0,15.0,113.0,817.0,240.30637155179429,,,1.5873015873015872,44,BHS
38,Bahrain,2020-08-11 06:35:16,26.0275,50.55,44397.0,163.0,41209.0,3025.0,2609.1586481529253,,,0.3671419240038741,48,BHR
39,Bangladesh,2020-08-11 06:35:16,23.685,90.3563,260507.0,3438.0,150437.0,106632.0,158.18080999186208,,,1.3197342105970282,50,BGD
40,Barbados,2020-08-11 06:35:16,13.1939,-59.5432,142.0,7.0,112.0,23.0,49.41347595964798,,,4.929577464788731,52,BRB
41,Belarus,2020-08-11 06:35:16,53.7098,27.9534,68947.0,589.0,64991.0,3367.0,729.6503103238847,,,0.8542793740119222,112,BLR
42,Belgium,2020-08-11 06:35:16,50.8333,4.469936,74620.0,9879.0,17792.0,46949.0,643.852220815599,,,13.239077995175554,56,BEL
43,Belize,2020-08-11 06:35:16,17.1899,-88.4976,177.0,2.0,32.0,143.0,44.51475148445379,,,1.1299435028248588,84,BLZ
44,Benin,2020-08-11 06:35:16,9.3077,2.3158,1936.0,38.0,1600.0,298.0,15.969383656028715,,,1.9628099173553717,204,BEN
45,Bhutan,2020-08-11 06:35:16,27.5142,90.4336,113.0,0.0,97.0,16.0,14.644665972017027,,,0.0,64,BTN
46,Bolivia,2020-08-11 06:35:16,-16.2902,-63.5887,91635.0,3712.0,30823.0,57100.0,785.0147549534915,,,4.050853931358105,68,BOL
47,Bosnia and Herzegovina,2020-08-11 06:35:16,43.9159,17.6791,14498.0,425.0,8159.0,5914.0,441.90239315535933,,,2.9314388191474685,70,BIH
48,Botswana,2020-08-11 06:35:16,-22.3285,24.6849,1066.0,2.0,80.0,984.0,45.33035666826131,,,0.18761726078799248,72,BWA
49,Brunei,2020-08-11 06:35:16,4.5353,114.7277,142.0,3.0,138.0,1.0,32.45840409798781,,,2.112676056338028,96,BRN
50,Bulgaria,2020-08-11 06:35:16,42.7339,25.4858,13512.0,459.0,7980.0,5073.0,194.46077503671685,,,3.3969804618117228,100,BGR
51,Burkina Faso,2020-08-11 06:35:16,12.2383,-1.5616,1204.0,54.0,984.0,166.0,5.759862161331825,,,4.485049833887043,854,BFA
52,Burma,2020-08-11 06:35:16,21.9162,95.956,360.0,6.0,312.0,42.0,0.6616455853517843,,,1.6666666666666667,104,MMR
53,Burundi,2020-08-11 06:35:16,-3.3731,29.9189,408.0,1.0,315.0,92.0,3.4312296223435617,,,0.24509803921568624,108,BDI
54,Cabo Verde,2020-08-11 06:35:16,16.5388,-23.0418,2883.0,32.0,2128.0,723.0,518.5363712885891,,,1.1099549080818591,132,CPV
55,Cambodia,2020-08-11 06:35:16,11.55,104.9167,266.0,0.0,220.0,46.0,1.5910070063522452,,,0.0,116,KHM
56,Cameroon,2020-08-11 06:35:16,3.8480000000000003,11.5021,18042.0,395.0,15320.0,2327.0,67.96539001329924,,,2.1893359937922625,120,CMR
57,Central African Republic,2020-08-11 06:35:16,6.6111,20.9394,4641.0,60.0,1721.0,2860.0,96.09165168318785,,,1.292824822236587,140,CAF
58,Chad,2020-08-11 06:35:16,15.4542,18.7322,945.0,76.0,843.0,26.0,5.753123778792938,,,8.042328042328043,148,TCD
59,Comoros,2020-08-11 06:35:16,-11.6455,43.3333,399.0,7.0,369.0,23.0,45.883428492574126,,,1.7543859649122806,174,COM
60,Congo (Brazzaville),2020-08-11 06:35:16,-0.228,15.8277,3664.0,58.0,1589.0,2017.0,66.39976281656776,,,1.5829694323144106,178,COG
61,Congo (Kinshasa),2020-08-11 06:35:16,-4.0383,21.7587,9489.0,224.0,8363.0,902.0,10.594965661770999,,,2.360628095689746,180,COD
62,Costa Rica,2020-08-11 06:35:16,9.7489,-83.7534,23872.0,244.0,7823.0,15805.0,468.61927314543806,,,1.0221179624664878,188,CRI
63,Cote d'Ivoire,2020-08-11 06:35:16,7.54,-5.5471,16798.0,105.0,13052.0,3641.0,63.68119219319686,,,0.6250744136206692,384,CIV
64,Croatia,2020-08-11 06:35:16,45.1,15.2,5649.0,158.0,4906.0,585.0,137.6036838520652,,,2.7969552133120907,191,HRV
65,Cuba,2020-08-11 06:35:16,21.521757,-77.78116700000002,3046.0,88.0,2460.0,498.0,26.892409877760485,,,2.8890347997373604,192,CUB
66,Cyprus,2020-08-11 06:35:16,35.1264,33.4299,1252.0,19.0,870.0,363.0,103.69723719749105,,,1.5175718849840256,196,CYP
67,Czechia,2020-08-11 06:35:16,49.8175,15.472999999999999,18494.0,390.0,12983.0,5121.0,172.69615356529687,,,2.1087920406618363,203,CZE
68,Diamond Princess,2020-08-11 06:35:16,,,712.0,13.0,651.0,48.0,,,,1.8258426966292132,9999,
69,Djibouti,2020-08-11 06:35:16,11.8251,42.5903,5347.0,59.0,5120.0,168.0,541.1932364509383,,,1.1034224798952683,262,DJI
70,Dominica,2020-08-11 06:35:16,15.415,-61.371,18.0,0.0,18.0,0.0,25.003125390673837,,,0.0,212,DMA
71,Dominican Republic,2020-08-11 06:35:16,18.7357,-70.1627,80499.0,1328.0,44910.0,34261.0,742.0696200851335,,,1.6497099342848984,214,DOM
72,Ecuador,2020-08-11 06:35:16,-1.8312,-78.1834,94701.0,5932.0,78608.0,10161.0,536.7606299587486,,,6.263925407334664,218,ECU
73,Egypt,2020-08-11 06:35:16,26.820553000000004,30.802497999999996,95666.0,5035.0,53779.0,36852.0,93.48371339010988,,,5.2631028787657055,818,EGY
74,El Salvador,2020-08-11 06:35:16,13.7942,-88.8965,20872.0,570.0,9762.0,10540.0,321.7908294855494,,,2.7309313913376774,222,SLV
75,Equatorial Guinea,2020-08-11 06:35:16,1.6508,10.2679,4821.0,83.0,2182.0,2556.0,343.6244863630046,,,1.7216345156606514,226,GNQ
76,Eritrea,2020-08-11 06:35:16,15.1794,39.7823,285.0,0.0,248.0,37.0,8.03625733731443,,,0.0,232,ERI
77,Estonia,2020-08-11 06:35:16,58.5953,25.0136,2158.0,63.0,1962.0,133.0,162.67897136835026,,,2.9193697868396664,233,EST
78,Eswatini,2020-08-11 06:35:16,-26.5225,31.4659,3309.0,61.0,1634.0,1614.0,285.21829672356665,,,1.843457237836204,748,SWZ
79,Ethiopia,2020-08-11 06:35:16,9.145,40.4897,23591.0,420.0,10411.0,12760.0,20.520411233181555,,,1.7803399601542962,231,ETH
80,Fiji,2020-08-11 06:35:16,-17.7134,178.065,27.0,1.0,18.0,8.0,3.0119003529501005,,,3.703703703703704,242,FJI
81,Gabon,2020-08-11 06:35:16,-0.8037,11.6094,8006.0,51.0,5823.0,2132.0,359.70253328349196,,,0.6370222333250063,266,GAB
82,Gambia,2020-08-11 06:35:16,13.4432,-15.3101,1235.0,23.0,221.0,991.0,51.103504665936185,,,1.862348178137652,270,GMB
83,Georgia,2020-08-11 06:35:16,42.3154,43.3569,1250.0,17.0,1010.0,223.0,31.334799801964067,,,1.36,268,GEO
84,Ghana,2020-08-11 06:35:16,7.9465,-1.0232,41212.0,215.0,38727.0,2270.0,132.6298488926621,,,0.5216927108609143,288,GHA
85,Greece,2020-08-11 06:35:16,39.0742,21.8243,5749.0,213.0,1347.0,4189.0,55.15656828477176,,,3.704992172551748,300,GRC
86,Grenada,2020-08-11 06:35:16,12.1165,-61.678999999999995,24.0,0.0,23.0,1.0,21.329730978768033,,,0.0,308,GRD
87,Guatemala,2020-08-11 06:35:16,15.7835,-90.2308,56987.0,2222.0,45589.0,9176.0,318.08649985791686,,,3.8991348904136034,320,GTM
88,Guinea,2020-08-11 06:35:16,9.9456,-9.6966,7930.0,50.0,6898.0,982.0,60.38319955116932,,,0.6305170239596469,324,GIN
89,Guinea-Bissau,2020-08-11 06:35:16,11.8037,-15.1804,2052.0,29.0,944.0,1079.0,104.2683986467466,,,1.4132553606237817,624,GNB
90,Guyana,2020-08-11 06:35:16,4.860416000000002,-58.93018000000001,568.0,22.0,189.0,357.0,72.21327325731446,,,3.8732394366197194,328,GUY
91,Haiti,2020-08-11 06:35:16,18.9712,-72.2852,7649.0,183.0,4982.0,2484.0,67.0815861703711,,,2.3924696038697872,332,HTI
92,Holy See,2020-08-11 06:35:16,41.9029,12.4534,12.0,0.0,12.0,0.0,1483.3127317676144,,,0.0,336,VAT
93,Honduras,2020-08-11 06:35:16,15.2,-86.2419,47872.0,1506.0,6649.0,39717.0,483.3305871368155,,,3.1458890374331547,340,HND
94,Hungary,2020-08-11 06:35:16,47.1625,19.5033,4731.0,605.0,3525.0,601.0,48.97338088164508,,,12.787994081589515,348,HUN
95,Indonesia,2020-08-11 06:35:16,-0.7893,113.9213,127083.0,5765.0,82236.0,39082.0,46.46143522646624,,,4.53640534139106,360,IDN
96,Iran,2020-08-11 06:35:16,32.427908,53.68804599999999,328844.0,18616.0,286642.0,23586.0,391.51379759204315,,,5.661042926129108,364,IRN
97,Iraq,2020-08-11 06:35:16,33.223191,43.679291,153599.0,5464.0,109790.0,38345.0,381.8733011220112,,,3.5573148262684,368,IRQ
98,Israel,2020-08-11 06:35:16,31.046051000000002,34.851612,85222.0,613.0,59999.0,24610.0,984.5947237728988,,,0.7192978338926568,376,ISR
99,Jamaica,2020-08-11 06:35:16,18.1096,-77.2975,1031.0,14.0,745.0,272.0,34.81742465201994,,,1.3579049466537343,388,JAM
100,Jordan,2020-08-11 06:35:16,31.24,36.51,1268.0,11.0,1187.0,70.0,12.427546814019998,,,0.8675078864353313,400,JOR
101,Kazakhstan,2020-08-11 06:35:16,48.0196,66.9237,100164.0,1058.0,73702.0,25404.0,533.4481706510093,,,1.0562677209376623,398,KAZ
102,Kenya,2020-08-11 06:35:16,-0.0236,37.9062,26928.0,423.0,13495.0,13010.0,50.0787594869382,,,1.570855614973262,404,KEN
103,"Korea, South",2020-08-11 06:35:16,35.90775700000001,127.766922,14660.0,305.0,13729.0,626.0,28.594175179268998,,,2.0804911323328787,410,KOR
104,Kosovo,2020-08-11 06:35:16,42.602636,20.902977,10419.0,341.0,6058.0,4020.0,575.5189834541743,,,3.2728668778193684,383,XKS
105,Kuwait,2020-08-11 06:35:16,29.311659999999996,47.481766,72400.0,482.0,64028.0,7890.0,1695.3268222480267,,,0.6657458563535912,414,KWT
106,Kyrgyzstan,2020-08-11 06:35:16,41.20438,74.766098,40455.0,1478.0,32734.0,6243.0,620.0768800300298,,,3.6534420961562235,417,KGZ
107,Laos,2020-08-11 06:35:16,19.856270000000002,102.495496,20.0,0.0,19.0,1.0,0.27489308033640314,,,0.0,418,LAO
108,Latvia,2020-08-11 06:35:16,56.8796,24.6032,1290.0,32.0,1070.0,188.0,68.39140240546877,,,2.48062015503876,428,LVA
109,Lebanon,2020-08-11 06:35:16,33.8547,35.8623,6812.0,80.0,2290.0,4442.0,99.80306037323295,,,1.1743981209630066,422,LBN
110,Lesotho,2020-08-11 06:35:16,-29.609988,28.233608,781.0,24.0,175.0,582.0,36.45696211276731,,,3.072983354673496,426,LSO
111,Liberia,2020-08-11 06:35:16,6.4280550000000005,-9.429499,1240.0,79.0,725.0,436.0,24.517184470261746,,,6.370967741935483,430,LBR
112,Libya,2020-08-11 06:35:16,26.3351,17.228331,5929.0,125.0,724.0,5080.0,86.28660103995074,,,2.1082813290605498,434,LBY
113,Liechtenstein,2020-08-11 06:35:16,47.14,9.55,89.0,1.0,85.0,3.0,233.36916904843062,,,1.1235955056179776,438,LIE
114,Lithuania,2020-08-11 06:35:16,55.1694,23.8813,2265.0,81.0,1670.0,514.0,83.20197950917076,,,3.5761589403973506,440,LTU
